매점명,주소
군산푸르지오점,"전북특별자치도 군산시 궁포2로 20 (조촌동, 군산 디오션시티 푸르지오) 1층 2호"
여수이순신광장점,전남 여수시 동문로 2-2 (중앙동) 1층(중앙동)
음성감곡점,충북 음성군 감곡면 왕장리 453-6 1층
전북순창점,전북특별자치도 순창군 순창읍 장류로 355 (순화리) 더벤티 전북순창점
김포장기역점,"경기 김포시 김포한강1로51번길 28 (장기동, 레드클로버) 107호"
마포도화점,"서울 마포구 삼개로 16 (도화동, 근신빌딩) 근신빌딩 본관 1층 102호"
평내리치점,"경기 남양주시 경춘로1350번길 35 (평내동, 리치플러스) 리치플러스 1층 105호 더벤티 평내리치점"
대구달서SK뷰점,"대구 달서구 용산로 40 (본리동) 201동 1층 112호(본리동,달서SK뷰) 더벤티 대구달서SK뷰점"
청주교대점,"충북 청주시 서원구 청남로 2065 (수곡동, 청주교육대학교) 청주교대 교육대학원 1층"
동탄G타워점,"경기 화성시 동탄첨단산업2로 43 (영천동) 1층 117호(영천동, 동탄G타워 지식산업센터)"
덕하뉴시티에일린점,울산 울주군 청량읍 덕하1로 55 (덕하리) 상가동 지1층 104호 (울산 뉴티시 에일린의뜰 2차)
익산배산점,"전북특별자치도 익산시 배산로3길 56 (모현동1가, 하나카센타) 1층 더벤티 익산배산점"
거창점,"경남 거창군 거창읍 아림로 23 (상림리, 아진캐슬) 1층 더벤티 거창점"
김천부곡점,"경북 김천시 부곡중앙1길 79 (부곡동, 김천 푸르지오 더 퍼스트) 401동 103~104호 더벤티 김천부곡점"
제주김녕점,제주특별자치도 제주시 구좌읍 김녕로 124 (김녕리) 1층 더벤티 제주김녕점
울산센트리지점,울산 중구 복산동 460-72 2단지 102호 더벤티 울산센트리지점
평촌로데오점,"경기 안양시 동안구 관평로170번길 33 (관양동, 평촌주공공이) 1층 118-1호 (관양동, 평촌주공공이)"
충남서천점,충남 서천군 서천읍 서천로 166 (사곡리) 1층 더벤티
강원태백점,강원특별자치도 태백시 황지로 17 (황지동) 1층 (황지동)
인천숭의스타디움점,"인천 미추홀구 참외전로 268 (숭의동, 스타디움 센트럴시티) 302동 B206호 더벤티 인천숭의스타디움점"
익산IC점,"전북특별자치도 익산시 무왕로 1592 (덕기동, 노다지식당 , 우리조명) 1층 더벤티 익산IC점"
포항오천시장점,경북 포항시 남구 오천읍 세계길 39 (세계리) A동 108호
기장월전점,부산 기장군 기장읍 월전해안길 1 (죽성리) 1층 더벤티 기장월전점
서울대점,"서울 관악구 관악로 1 (신림동, 서울대학교) 200동 2층 2007A호 (신림동, 서울대학교)"
연신불광점,서울 은평구 연서로 292 (불광동) 1층 더벤티
광주풍암2지구점,광주 서구 풍암신흥로 19-1 (풍암동) 1층 더벤티
마산산호점,경남 창원시 마산합포구 삼호로 55 (산호동) 2층
여수화장점,전남 여수시 화산로 2 (화장동) 1층 더벤티 여수화장점
경북안계점,"경북 의성군 안계면 안계시장길 30 (용기리, 안계행복플랫폼) 119호"
전북정읍첨단점,전북특별자치도 정읍시 첨단2로 3 (신정동) 101호
창원무동점,경남 창원시 의창구 북면 동곡로 5 (무동리) 1층 106호
둔촌동역점,서울 강동구 양재대로89길 13 (성내동) 1층 102호
평택이충점,"경기 평택시 이충로35번길 20-9 (이충동, 이충센타프라자) 1층 112호"
김포은여울점,"경기 김포시 김포한강8로 173-59 (마산동, e편한세상 한강신도시2차) 제상가동 제1층 제106호"
강릉포남점,강원특별자치도 강릉시 하평길 30 (포남동) 1층
속초중앙점,강원특별자치도 속초시 청초호반로 329-1 (중앙동) 1층 더벤티 속초중앙점
사천사남점,경남 사천시 사남면 조동길 14 (월성리) C동 101호
이천부발점,경기 이천시 부발읍 무촌로 122 (무촌리) 1층
대구수성못점,대구 수성구 용학로 35-3 (상동) 1층
홍성로데오점,충남 홍성군 홍성읍 조양로 140-1 (오관리) 1층
양주봉양점,경기 양주시 칠봉산로 218 (봉양동) 1층 102호
대전보문산점,"대전 중구 보문산공원로 486 (대사동) 1,2층"
숭의로터리점,인천 미추홀구 독배로 498 (숭의동) 1층
서귀포상창점,제주특별자치도 서귀포시 안덕면 병악로 107 (상창리) 1층
원주관설점,강원특별자치도 원주시 관설동 1701-2 1층
천안상명대점,"충남 천안시 동남구 상명대길 27 (안서동, 영일빌딩) 101호"
거제더샵디클리브점,경남 거제시 상동5길 56 (상동동) 303동 1층 C101호
부천도당점,경기 부천시 원미구 수도로 186 (도당동) 1층 일부
롯데마트월드타워점,"서울 송파구 올림픽로 300 (신천동, 롯데월드타워앤드롯데월드몰) 롯데월드몰 지하2층 롯데마트"
인천청라초교점,인천 서구 청라에메랄드로133번길 5 (청라동) 1층 101호 일부
구미도산초교점,경북 구미시 문장로 86-2 (도량동) 1층
일산주엽역점,"경기 고양시 일산서구 중앙로 1425 (주엽동, 주엽역 삼부르네상스) 가동 116호"
동마산시장점,"경남 창원시 마산회원구 합성남8길 76 (합성동, 동마산시장) 가동 8,9호"
만안구청점,경기 안양시 만안구 안양로 122 (안양동) 1층 일부호
인제신남터미널점,강원특별자치도 인제군 남면 신남로 23 (신남리) 1층
부산재송점,부산 해운대구 재송1로 56 (재송동) 1층 일부호
포항역삼구점,경북 포항시 북구 흥해읍 이인로 52 (이인리) 134동 101호
칠곡왜관순심점,경북 칠곡군 왜관읍 관문로 58-8 (왜관리) 1층
가산AP타워점,서울 금천구 가산디지털1로 16 (가산동) 에이피타워 1층 116-R호
중곡점,서울 광진구 중곡동 117-1 1층
광주문흥점,광주 북구 서하로 363 (문흥동) 1층
울산문수아이파크점,울산 남구 문수로423번길 8 (신정동) 1층 104호
시흥소래초점,경기 시흥시 호현로49번길 4-1 1층
용인신봉점,"경기 용인시 수지구 신봉2로 2 (신봉동, 센트럴500) 107호"
미사강변스카이폴리스점,"경기 하남시 미사강변한강로 135 (망월동, 미사강변 스카이폴리스) 가 110호"
순천금당부영6차점,"전남 순천시 해룡면 장선배기길 272 (상삼리, 부영6차아파트) 상가동 지상1층 106호"
전주서신이마트점,"전북특별자치도 전주시 완산구 당산로 116 (서신동, 대봉빌딩) 1층"
사상공단점,부산 사상구 감전동 165-21 1층
광주진곡산단점,광주 광산구 진곡산단2번로 47-60 (오선동) 1층
경기양평점,경기 양평군 양평읍 양평시장길 26-1 (양근리) 102호
화성봉담점,경기 화성시 봉담읍 삼천병마로 1268 (상리) 107호
대전신탄진점,대전 대덕구 대청로 55 (신탄진동) 1층
구미광평점,"경북 구미시 구미대로 186-22 (광평동, 푸르지오1차) 상가동 1층 103호"
부천오정점,"경기 부천시 오정구 오정로 242 (오정동, 낙원빌딩) 1층"
전주금상점,전북특별자치도 전주시 덕진구 전진로 36 (산정동) 1층
벡스코점,"부산 해운대구 센텀2로 19 (우동, 센텀코아) 1층 106호(입구쪽 남서측 일부)"
별내중앙점,경기 남양주시 별내동 1097-2 104호
울산빌리브점,울산 중구 구교로 59 (학성동) 판매시설동 1층 127호
대구명곡점,대구 달성군 화원읍 명곡리 105-2 1층
광주화정모아타운점,"광주 서구 화정로 129 (화정동, 모아아파트) 모아아파트 105동 상가동 1층 109호"
고덕역점,"서울 강동구 고덕로 266 (명일동, 고덕역 대명벨리온) 1층 102호"
대구대곡점,대구 달성군 화원읍 비슬로539길 28 (구라리) 1층
포항오천힐스테이트점,"경북 포항시 남구 오천읍 중원로 16 (원리, 힐스테이트 포항) 힐스테이트포항상가 304동 101호"
해운대마린시티점,"부산 해운대구 마린시티3로 51 (우동, 더샵해운대아델리스) 103호"
