지점명,주소
익산 원광대점,전북 익산시 무왕로 884  (신동) 1층
부산 남천점,"부산 수영구 황령대로473번길 15  (남천동, 남천 엑슬루타워) 103, 104호"
용인 김량장점,경기 용인시 처인구 금령로 94  (김량장동)
파주 동패점,경기 파주시 동패동 1758-1  삼융프라자 106
충북오송점,충북 청주시 흥덕구 오송읍 연제리 712
서산 호수공원점,"충남 서산시 호수공원3로 26  (읍내동, 하진하우스)"
제주 노형점,제주특별자치도 제주시 노형동 3794-5
안양 동편마을점,"경기 안양시 동안구 동편로 16  (관양동) (광양동, 동편상가)"
울진 군청점,"경북 울진군 울진읍 울진중앙로 123-2  (읍내리, 클래식)"
분당 서현점,"경기 성남시 분당구 서현로180번길 19  (서현동, 비전월드)  101-25호"
김해율하점,경남 김해시 관동동 1094-1
인천 검단사거리역점,인천 서구 검단로 469  (왕길동) 104-105호(왕길동)
구미 형곡송정점,경북 구미시 송정대로 11  (송정동)
원주 무실점,강원 원주시 시청로 100  (무실동)
안성석정점,경기 안성시 석정동 255-9
안동 옥동점,경북 안동시 옥동 616-1
천안 두정점,"충남 천안시 서북구 두정중9길 11-1  (두정동, 한일상사)  1층"
대구 테크노폴리스점,대구 달성군 유가읍 테크노상업로 96  (봉리)
동여의도점,"서울 영등포구 의사당대로1길 25  (여의도동, 하남빌딩)  115호"
광양 중마점,전남 광양시 공영로 102  (중동)
울산 성남점,울산 중구 젊음의거리 29-6  (성남동)
포항 양덕점,경북 포항시 북구 양덕동 1396
충주연수점,충북 충주시 갱고개로 176  (연수동)
대구 침산점,"대구 북구 침산로 153  (침산동, 명성푸르지오) 105동 1층 C15호"
충주성서점,충북 충주시 성서8길 19  (성서동)
송탄출장소점,경기 평택시 관광특구로 19  (서정동)  101-1호(서정동)
영주 가흥점,경북 영주시 대동로13번길 2-21  (가흥동)
송도 캠퍼스타운점,"인천 연수구 송도과학로27번길 55  (송도동, 롯데캐슬 캠퍼스타운) (송도동, 갬퍼스타운 애비뉴)"
시흥대야점,"경기 시흥시 비둘기공원7길 39  (대야동, 트윈프라자) 1층 101호(대야동, 트윈프라자)"
남앙주 진접점,경기 남양주시 진접읍 금곡리 974-1  103호
판교 알파돔점,"경기 성남시 분당구 대왕판교로606번길 10  (백현동, 알파리움1단지) 타워 1동 2층 328호(백현동, 알파리움)"
전주아중점,전북 전주시 덕진구 건산로 261  (우아동2가) 1동 1호(우아동 2가)
파주 금촌점,경기 파주시 중앙로 323  (금촌동) 1층
금정역점,경기 군포시 산본천로226번길 4  (산본동) 101호(산본동)
아산 용화점,충남 아산시 용화고길 93  (용화동)  103호
태안점,충남 태안군 태안읍 동문3길 17  (동문리)
용인 기흥구청점,"경기 용인시 기흥구 구갈로60번길 3  (구갈동, 골드프라자) 102호(구갈동, 골드프라자)"
상봉점,"서울 중랑구 망우로 353  (상봉동, 상봉 프레미어스 엠코) 비주거동 1층 C 101호"
속초 교동점,강원 속초시 중앙로 20  (교동)
용인 동백점,"경기 용인시 기흥구 동백죽전대로 444  (중동, 쥬네브) 쥬네브썬월드빌딩 9층"
대구 수성못점,대구 수성구 수성못길 18  (두산동)
정읍 상동점,"전북 정읍시 신경1길 1-9  (상동) 1,2층"
태백 황지연못점,강원 태백시 황지로 149  (황지동) 연지로 빌딩 101호
외대점 (250331 폐점),서울 동대문구 휘경로 13  (이문동)
가평점,"경기 가평군 가평읍 연인2길 22-1  (읍내리, 한서건축사무소) 1층"
안양역점,경기 안양시 만안구 장내로139번길 60  (안양동)
인천아라점,"인천 서구 이음5로 62  (원당동, 정인프라자)"
창원합성로점,경남 창원시 마산회원구 합성남로 10  (합성동)
보라매점,서울 관악구 봉천로7길 41  (봉천동)
아주대점,경기 수원시 팔달구 아주로 43  (우만동)
순천 조례점,전남 순천시 신월큰길 27  (조례동)
더샵 부평점,인천 부평구 십정동 289-8
강남 테헤란로점,"서울 강남구 테헤란로4길 6  (역삼동, 강남역 센트럴 푸르지오 시티)"
증포점,경기 이천시 이섭대천로 1342  (증포동) 102호
옥천중앙로점,충북 옥천군 옥천읍 중앙로 40  (금구리)
수원매교역점,경기 수원시 팔달구 정조로 667  (매교동)
분당서현시범단지점,"경기 성남시 분당구 중앙공원로39번길 49  (서현동, 서현 지엔느)"
구로구청점,"서울 구로구 가마산로 285  (구로동, 비즈트위트 레드)"
건대점,"서울 광진구 아차산로 238  (1층, 자양동)"
학익점,인천 미추홀구 소성로 237  (학익동)
우송대동역점,대전 동구 백룡로 9  (자양동)
대전탄방점,대전 서구 괴정동 7-2
울산 송정점,울산 북구 송정25길 2  (송정동)
대구 태전점,대구 북구 칠곡중앙대로69길 11  (태전동)
신사역점,서울 강남구 강남대로146길 25  (논현동)
관악점,"서울 관악구 관악로 164  (봉천동, 대우디오슈페리움1단지)"
하남 메가박스점,광주 광산구 우산동 1588-1  동부센트레빌상가 141호
석수동 안양대교점,"경기 안양시 만안구 안양로 447  (석수동, 유안율빌딩)"
제주시청대야점,제주특별자치도 제주시 동광로 7  (이도일동)
안산중앙점,"경기 안산시 단원구 예술대학로 9  (고잔동, 보배프라자)"
방배중앙점,서울 서초구 방배중앙로 117  (방배동)
창원중앙점,경남 창원시 성산구 용지로133번길 11  (중앙동)
대전역점,"대전 동구 중앙로 215  (정동, 대전역)"
가산 한라원앤원점,서울 금천구 가산디지털2로 101  (가산동)
양원역점,서울 중랑구 양원역로 72  (망우동)
남원춘향점,전북 남원시 주천면 원천로 345-34  (호기리)
수유역점,서울 강북구 수유동 174-32
울산 대공원점,울산 남구 대공원로99번길 20  (옥동)
진해석동점,"경남 창원시 진해구 냉천로 61  (석동, 보람수산)"
동인천역점,인천 동구 송현로 7  (송현동)
평택포승점,경기 평택시 포승읍 여술3길 17-16  (도곡리) 101호
대전학하점,대전 유성구 계산동 762-9
여주교동점,경기 여주시 교동 538
인천 귤현점,인천 계양구 귤현동 496
화성시청 남양점,경기 화성시 남양읍 역골중앙로 14  (남양리) 102호
순천오천점,전남 순천시 오천6길 26  (오천동)
호매실 능실점,경기 수원시 권선구 호매실로104번길 24-70  (호매실동)
창원경남대점,경남 창원시 마산합포구 창포동3가 8-4
덕천동이수타워점,"부산 북구 기찰로 12  (덕천동, 이수빌딩)"
덕소점,"경기 남양주시 와부읍 덕소로 269  (도곡리, 동성프라자)"
안성중대점,경기 안성시 대덕면 대학10길 20  (내리)
마석 스타점,"경기 남양주시 화도읍 마석중앙로37번길 45  (마석우리, 별나라프라자)"
판교역점,경기 성남시 분당구 판교역로 136  (백현동)
지축점,경기 고양시 덕양구 오부자2길 18  (지축동)
군산조촌디오션점,전북 군산시 조촌동 2-38
광주 경안점,경기 광주시 경안로 32  (경안동)
다사 대실점,대구 달성군 다사읍 대실역남로 10  (죽곡리)
성대점,경기 수원시 장안구 화산로213번길 23  (율전동)
논현중앙점,인천 남동구 논현동 631-9
안면도점,충남 태안군 안면읍 방포로 1  (승언리)
계양구청점,"인천 계양구 계산새로 71  (계산동, 하이베라스) C동 1층 113,114호"
송도트리플스트리트점,"인천 연수구 송도과학로16번길 33-4  (송도동, 송도 트리플스트리트) D동 118호"
부천송내역점,"경기 부천시 부일로199번길 21  (상동, 황금프라자빌딩) 103,104,105호"
대전산성점,"대전 중구 대둔산로408번길 5  (산성동, 동신빌딩)"
시흥거북섬점,"경기 시흥시 거북섬2길 5  (정왕동, 시흥시 MTV 프라자) 102호"
삼성점,서울 강남구 테헤란로87길 57  (삼성동)
남원사랑도통점,전북 남원시 춘향로 24  (도통동) 1층
창원유니시티점,경상남도 창원시 의창구 중동중앙로 95  (중동)
월미도점,인천 중구 북성동1가 98-230  2층
사가정역점,서울 중랑구 면목로 341  (면목동) 1F
광주사암로점,광주 광산구 사암로215번길 27  (우산동)
평촌엘프라우드,"경기 안양시 동안구 운곡로 60  (비산동, 평촌엘프라우드) 2단지 상가 223호"
수원인계점,경기 수원시 팔달구 인계로 118  (인계동)
안산해양점,경기 안산시 상록구 해양4로 26  (사동) 자이센터프라자 1층
선화하늘채점,"대전 중구 대종로594번길 51  (선화동, 하늘채스카이앤1차) 303동 128호"
광주상무점,광주 서구 금부로 83  (금호동) 1층
화성융건릉점,경기 화성시 세자로475번길 14-3  (안녕동) 2층3층
울산온양점,울산 울주군 온양읍 온양로 177  (대안리)
횡성점,강원특별자치도 횡성군 횡성읍 교항리 116-8
일산킨텍스점,"경기 고양시 일산서구 킨텍스로 217-60  (대화동, 킨텍스) 킨텍스 제1전시장 5홀 전면 디저트39"
부천소사역점,경기 부천시 소사구 소사본동 65-5  118호
홍대입구역점,서울 마포구 신촌로 28  (동교동) 1층
세종나성점,"세종특별자치시 나성로 96  (나성동, 더센트럴) 1층 159호"
충북음성성본점,"충북 음성군 대소면 성본산단4로 41  (성본리, 음성푸르지오 더퍼스트)"
시흥장현점,"경기 시흥시 황고개로 486  (장곡동, 퍼스트프라자) 1층"
롯데마트그랑그로서리구리점,"경기 구리시 동구릉로136번길 57  (인창동, 구리유통종합상가) 롯데마트그랑그로서리구리점 2층"
광명사거리역점,"경기 광명시 오리로 942  (광명동, 임플란트빌딩) 1,2층"
부산모라점,부산 사상구 사상로489번길 28  (모라동)
울산신정점,"울산 남구 봉월로 55  (신정동, 양우내안애팰리스) 상가 104호"
충북대병원점,"충북 청주시 서원구 1순환로 771  (개신동, 보덕빌딩) 1층 디저트39"
답십리점,서울 동대문구 답십리동 21-78
마곡점,"서울 강서구 마곡중앙로 111  (마곡동, 롯데캐슬 르웨스트) 105동 175호"
강동구청점,서울 강동구 성내동 319-33  1층 2호
안양어반포레점,"경기 안양시 만안구 냉천로 125  (안양동, 안양어반포레자연앤이편한세상 3단지) 108호(안양어반포레자연앤이편한세상 3단지 3-3상가)"
구미신평점,경북 구미시 신비로 16  (신평동)
검암푸르지오점,인천 서구 한중로 10  (백석동) 메르시타워 115호
화곡더챔버점,"서울 강서구 강서로 174  (화곡동, 한양 더챔버)"
글로스터호텔인천점,인천 남동구 소래역로 36  (논현동) 글로스터인천 1층
학익시티필드점,인천 미추홀구 매소홀로 262  (학익동)
양산신명동점,경남 양산시 신명동7길 30  (명동) 1층
당진송악점,"충남 당진시 송악읍 신복운로 49  (복운리, 송악프라자) 108호, 109호"
수원탑동점,"경기 수원시 권선구 서부로 1822-55  (탑동, (주)덕산마트)"
김제검산점,전북특별자치도 김제시 검산택지1길 51  (검산동)
대전관평점,"대전 유성구 관평2로 26  (관평동, 아카데미프라자)"
청주강서점,"충북 청주시 흥덕구 서현중로 66  (강서동, 레인보우빌딩)"
