매장코드,매장명,주소,오픈날짜
2427,판교놀유니버스,경기도 성남시 수정구 금토동 717,2025-06-20
2301,판교제2테크노밸리,경기도 성남시 수정구 시흥동 294-2 판교제2테크노밸리기업성장센터,2024-07-30
1424,여주DT,경기도 여주시 점봉동 429-1,2018-10-26
20,여주P.아울렛입구,경기도 여주시 상거동 460 여주프리미엄아울렛 2004호,2009-04-25
66,여주P.아울렛,경기도 여주시 상거동 460 여주프리미엄아울렛 2400호,2007-05-28
2308,여주프리미엄빌리지,경기도 여주시 상거동 375-54,2024-08-30
2148,여주남한강DT,"경기도 여주시 천송동 565-8, 572",2023-06-22
1931,여주자유CC,경기도 여주시 가남읍 삼군리 468-4,2022-02-11
2273,서여주IC DT,경기도 여주시 세종대왕면 번도리 887-30,2024-05-29
1502,평택비전,"경기도 평택시 비전동 1103-1, 2 1층 113, 114, 115, 116, 117, 138호",2019-06-13
1526,평택서정DT,경기도 평택시 서정동 813-2,2019-07-30
1589,평택안중DT,"경기도 평택시 안중읍 현화리 649-4, 649-8, 649-10, 652, 652-1",2019-12-18
976,평택로데오,경기도 평택시 평택동 291-11,2015-08-26
868,평택AK플라자,경기도 평택시 평택동 185-1 평택역,2014-12-18
622,평택송탄,경기도 평택시 서정동 847-5번지,2013-05-30
2493,평택용이DT,경기도 평택시 죽백동 646-2,2025-12-19
2112,평택독곡DT,"경기도 평택시 독곡동 386-1, 385, 386-9, 451-7",2023-03-24
1988,평택이충DT,경기도 평택시 이충동 76-3,2022-06-09
1666,평택죽백DT,경기도 평택시 죽백동 479-7,2020-06-25
1932,평택청북DT,경기도 평택시 청북읍 옥길리 1157-1,2022-02-18
2265,평택고덕에듀타운,경기도 평택시 고덕동 2696-3,2024-05-03
1743,평택대DT,경기도 평택시 용이동 606-2,2020-12-18
1914,평택고덕,경기도 평택시 고덕면 여염리 4501-2번지,2022-01-20
1941,평택이마트,경기도 평택시 지제동 50 이마트,2022-03-18
2421,평택안중서동대로DT,"경기도 평택시 안중읍 안중리 60-29, 60-30, 60-31",2025-06-12
1848,평택세교DT,"경기도 평택시 세교동 425, 425-15, 425-51",2021-08-27
2254,평택팽성DT,경기도 평택시 팽성읍 남산리 466,2024-04-25
2128,평택비전DT,경기도 평택시 비전동 17-1,2023-04-28
1629,주엽강선,경기도 고양시 일산서구 주엽동 81 강선마을13단지아파트,2020-06-19
1373,일산가로수길,경기도 고양시 일산서구 대화동 1050-185,2018-06-15
1300,일산가구단지,경기도 고양시 일산서구 덕이동 373-9,2017-11-30
1212,일산덕이DT,경기도 고양시 일산서구 덕이동 469. 469-1,2017-04-26
942,일산후곡,경기도 고양시 일산서구 일산동 1084-1,2015-06-23
941,스타필드마켓일산,경기도 고양시 일산서구 대화동 2703번지 1층,2015-06-18
724,일산탄현제니스,경기도 고양시 일산서구 탄현동 1640 (일산위브더제니스스퀘어1동147~151),2014-01-24
697,대화역,경기도 고양시 일산서구 대화동 2222-3 씨티타워 1~2층,2013-12-03
666,일산주엽,경기도 고양시 일산서구 주엽동 71-1 1층,2013-09-17
1661,현대킨텍스,경기도 고양시 일산서구 대화동 2602,2020-06-19
1869,문촌사거리,경기도 고양시 일산서구 주엽동 17 문촌마을 복합상가,2021-09-17
1675,일산탄현동,경기도 고양시 일산서구 탄현동 142-84,2020-08-04
1591,풍무역DT,경기도 김포시 풍무동 326-3 326-4,2019-12-23
1624,풍무사거리DT,"경기도 김포시 풍무동 57-1, 57-2, 52-9, 52-21, 52-23, 58-3",2020-03-20
1534,김포아이앤씨,경기도 김포시 장기동 2083-2 신세계그룹 데이터센터,2019-08-28
1297,김포장기커낼,경기도 김포시 장기동 2031 e편한세상 캐널시티,2017-11-22
1274,김포감정DT,경기도 김포시 감정동 502-20,2017-09-26
940,김포운양,경기도 김포시 운양동 1298-1번지,2015-06-17
891,김포이마트,경기도 김포시 구래동 6880-9,2015-01-29
742,김포풍무DT,경기도 김포시 풍무동 620-11,2014-02-27
758,김포시청,경기도 김포시 사우동 246-6,2014-03-28
599,김포장기,경기도 김포시 장기동 1608번지 홍우프라자 102~105호,2013-03-26
2161,김포통진DT,경기도 김포시 통진읍 도사리 640-25,2023-07-28
1930,김포현대아울렛3층,경기도 김포시 고촌읍 전호리 654 현대프리미엄아울렛 3층,2022-02-18
2012,김포구래DT,경기도 김포시 양촌읍 구래리 774-4,2022-07-29
1683,김포석모DT,"경기도 김포시 양촌읍 석모리 917, 921-3, 919-2번지 총 3필지",2020-08-28
1959,김포걸포,경기도 김포시 걸포동 264-4 한강메트로자이1단지 파인스타 161~167호,2022-04-06
2352,김포애기봉생태공원,경기도 김포시 월곶면 조강리 1-9,2024-11-29
2320,김포양촌역DT,경기도 김포시 양촌읍 구래리 262-1 외 6개 필지,2024-09-13
2100,김포마산역,경기도 김포시 마산동 646-1 엠파어프라자 107~111호,2023-03-03
2180,김포한강로DT,"경기도 김포시 양촌읍 석모리 296-3, 297-6, 297-13",2023-09-14
1613,부천상동역,경기도 부천시 원미구 상동 535-5 드림모아,2020-02-27
1537,스타필드부천,경기도 부천시 소사구 옥길동 768 스타필드시티 부천,2019-09-03
1612,부천옥길,경기도 부천시 소사구 옥길동 745-3 문영 퀸즈파크 B,2020-04-16
1279,부천심곡DT,경기도 부천시 원미구 심곡동 110-5 심곡동110-5 근린생활시설,2017-09-29
1118,뉴코아부천,경기도 부천시 원미구 상동 539-1 소풍(부천터미널),2016-09-28
1117,중동이마트,경기도 부천시 원미구 중동 1157 (주)신세계이마트중동점,2016-09-30
1035,부천중동DT,경기도 부천시 원미구 중동 628-14,2016-02-12
